S1,Rate,S2
0.01,0.07692307692307691,0.05
0.030204081632653063,0.158458244111349,0.05
0.05040816326530612,0.2006498781478473,0.05
0.07061224489795918,0.2264397905759162,0.05
0.09081632653061224,0.24383561643835613,0.05
0.11102040816326529,0.2563619227144203,0.05
0.13122448979591836,0.2658123191401406,0.05
0.15142857142857144,0.27319587628865977,0.05
0.1716326530612245,0.27912379688018585,0.05
0.19183673469387755,0.28398791540785495,0.05
0.2120408163265306,0.2880510119212642,0.05
0.23224489795918368,0.29149590163934425,0.05
0.2524489795918367,0.29445370149964295,0.05
0.2726530612244898,0.29702089817696753,0.05
0.29285714285714287,0.2992700729927007,0.05
0.3130612244897959,0.30125687352710134,0.05
0.333265306122449,0.3030246799035071,0.05
0.35346938775510206,0.3046078086528315,0.05
0.3736734693877551,0.30603376232659196,0.05
0.39387755102040817,0.3073248407643312,0.05
0.4140816326530612,0.308499315797476,0.05
0.4342857142857143,0.3095723014256619,0.05
0.45448979591836736,0.3105564077534514,0.05
0.4746938775510204,0.31146223888591323,0.05
0.49489795918367346,0.3122987765614939,0.05
0.5151020408163265,0.31307367898784416,0.05
0.5353061224489796,0.3137935159708099,0.05
0.5555102040816327,0.31446395563770796,0.05
0.5757142857142857,0.31508991399530883,0.05
0.5959183673469388,0.3156756756756756,0.05
0.6161224489795918,0.316224992144129,0.05
0.6363265306122449,0.31674116212921577,0.05
0.656530612244898,0.31722709791933734,0.05
0.676734693877551,0.3176853803410615,0.05
0.6969387755102041,0.3181183046110852,0.05
0.7171428571428571,0.31852791878172587,0.05
0.7373469387755102,0.318916056139112,0.05
0.7575510204081632,0.31928436263547216,0.05
0.7777551020408163,0.3196343202214208,0.05
0.7979591836734694,0.3199672667757774,0.05
0.8181632653061224,0.3202844131980506,0.05
0.8383673469387755,0.32058685812392695,0.05
0.8585714285714285,0.3208756006406834,0.05
0.8787755102040816,0.32115155131264916,0.05
0.8989795918367347,0.3214155417730755,0.05
0.9191836734693878,0.32166833309527215,0.05
0.9393877551020408,0.32191062312049795,0.05
0.9595918367346938,0.32214305289120304,0.05
0.9797959183673469,0.3223662123145102,0.05
1.0,0.32258064516129026,0.05
0.01,0.08333333333333331,0.1
0.030204081632653063,0.18829516539440203,0.1
0.05040816326530612,0.25101626016260165,0.1
0.07061224489795918,0.2927241962774958,0.1
0.09081632653061224,0.322463768115942,0.1
0.11102040816326529,0.34474017743979724,0.1
0.13122448979591836,0.36204954954954954,0.1
0.15142857142857144,0.375886524822695,0.1
0.1716326530612245,0.38720073664825044,0.1
0.19183673469387755,0.39662447257383965,0.1
0.2120408163265306,0.404595015576324,0.1
0.23224489795918368,0.41142443962400577,0.1
0.2524489795918367,0.4173414304993252,0.1
0.2726530612244898,0.4225173940543959,0.1
0.29285714285714287,0.42708333333333326,0.1
0.3130612244897959,0.4311410905002811,0.1
0.333265306122449,0.43477103301384445,0.1
0.35346938775510206,0.438037430450177,0.1
0.3736734693877551,0.4409922928709055,0.1
0.39387755102040817,0.4436781609195402,0.1
0.4140816326530612,0.44613016710642034,0.1
0.4342857142857143,0.4483775811209439,0.1
0.45448979591836736,0.45044498381877024,0.1
0.4746938775510204,0.4523531699727732,0.1
0.49489795918367346,0.4541198501872659,0.1
0.5151020408163265,0.45576020223907543,0.1
0.5353061224489796,0.45728730822873087,0.1
0.5555102040816327,0.4587125042130098,0.1
0.5757142857142857,0.4600456621004566,0.1
0.5959183673469388,0.4612954186413903,0.1
0.6161224489795918,0.46246936274509803,0.1
0.6363265306122449,0.4635741897115671,0.1
0.656530612244898,0.4646158290005777,0.1
0.676734693877551,0.46559955068800907,0.1
0.6969387755102041,0.46653005464480873,0.1
0.7171428571428571,0.4674115456238362,0.1
0.7373469387755102,0.4682477967858994,0.1
0.7575510204081632,0.46904220368966393,0.1
0.7777551020408163,0.4697978303747534,0.1
0.7979591836734694,0.470517448856799,0.1
0.8181632653061224,0.47120357310766336,0.1
0.8383673469387755,0.47185848839880545,0.1
0.8585714285714285,0.4724842767295597,0.1
0.8787755102040816,0.47308283893649744,0.1
0.8989795918367347,0.47365591397849466,0.1
0.9191836734693878,0.4742050958096441,0.1
0.9393877551020408,0.47473184818481845,0.1
0.9595918367346938,0.47523751768748734,0.1
0.9797959183673469,0.4757233452239398,0.1
1.0,0.47619047619047616,0.1
0.01,0.08695652173913042,0.2
0.030204081632653063,0.20786516853932582,0.2
0.05040816326530612,0.28704241719930274,0.2
0.07061224489795918,0.3429137760158573,0.2
0.09081632653061224,0.38444924406047515,0.2
0.11102040816326529,0.4165390505359877,0.2
0.13122448979591836,0.44207631488484017,0.2
0.15142857142857144,0.46288209606986896,0.2
0.1716326530612245,0.48015986297459323,0.2
0.19183673469387755,0.4947368421052631,0.2
0.2120408163265306,0.5072003905296558,0.2
0.23224489795918368,0.5179790623577606,0.2
0.2524489795918367,0.527392879982946,0.2
0.2726530612244898,0.5356856455493184,0.2
0.29285714285714287,0.543046357615894,0.2
0.3130612244897959,0.5496237907560013,0.2
0.333265306122449,0.5555366558938595,0.2
0.35346938775510206,0.5608808290155439,0.2
0.3736734693877551,0.5657345898346979,0.2
0.39387755102040817,0.5701624815361891,0.2
0.4140816326530612,0.5742181972548465,0.2
0.4342857142857143,0.5779467680608364,0.2
0.45448979591836736,0.5813862420049603,0.2
0.4746938775510204,0.5845689871827092,0.2
0.49489795918367346,0.5875227135069654,0.2
0.5151020408163265,0.5902712815715622,0.2
0.5353061224489796,0.5928353486269635,0.2
0.5555102040816327,0.5952328886945112,0.2
